ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.134781348,1.793246695,0.360534996,0.378191145,1.074350971,0.23136074,0.281345758,7.642877842,0.094146,0.080417
0.129735326,0.822726613,0.242461719,0.532465675,1.367987635,0.150510223,0.297120039,7.70805547,0.050452,0.087129
0.090609391,1.938571851,0.207186942,0.602878399,1.431928026,0.146963875,0.21677842,7.131255474,0.16082,0
0.109844994,1.238392174,0.22077601,0.564889696,1.295519562,0.176682663,0.299976688,7.565378682,0.096838,0.036255
0.117132867,1.573963615,0.250935949,0.57468376,0.86593225,0.15157787,0.29259425,7.659599209,0.077787,0.056348
0.152879284,1.063687314,0.214966316,0.477883125,0.562973667,0.167269731,0.16151899,7.241983288,0.026246,0.14701
0.134873191,1.649175207,0.339848537,0.479204199,0.725693695,0.177235559,0.28842469,7.798702953,0.032821,0.11654
0.122524228,1.585008602,0.173479463,0.478370907,1.056079816,0.140210433,0.307219246,7.644265723,0.035129,0.097992
0.163892103,1.161724058,0.400652493,0.472606667,0.659098258,0.257597521,0.291013142,7.819817907,0.032023,0.14936
0.149355354,0.689842889,0.14092134,0.513540409,1.297080716,0.109790517,0.27152349,7.076995171,0.042348,0.11352
0.128504658,0.788508323,0.546099779,0.503067939,0.732572161,0.297329389,0.24624404,7.755335568,0.082902,0.078709
0.139524383,0.821480889,0.624524938,0.599426043,0.266867907,0.254200022,0.271014001,7.783845035,0.067879,0.090298
0.146318198,1.127597934,0.330311073,0.534316285,0.699215656,0.170195475,0.251024909,7.479439742,0.064131,0.10378
0.165548348,0.890205327,0.588639698,0.3971225,0.366254758,0.218897755,0.259839049,7.669217933,0.068527,0.12673
0.127243207,1.486936917,0.319452275,0.523442601,1.374635603,0.261996995,0.279278285,7.833092855,0.10252,0.053601
0.135580217,1.869550437,0.369211259,0.512356737,1.51352643,0.266369013,0.294192574,7.833255684,0.088375,0.06587
0.115657359,1.632163334,0.391149264,0.530609605,1.36627598,0.227363353,0.277781958,7.801097884,0.081717,0.05912
0.132791021,1.768330981,0.297423037,0.457668995,0.996312192,0.153359265,0.272271261,7.740554129,0.048162,0.096272
0.133107404,0.969689185,0.515337677,0.558866674,1.193222319,0.224759682,0.213359776,7.471158942,0.078694,0.080382
0.106824494,0.922000041,0.374383642,0.380189977,0.743464755,0.261119257,0.278996321,7.381699329,0.057212,0.068986
0.126318362,0.679182016,0.395027552,0.482747542,0.643763973,0.257541949,0.227179824,7.677685964,0.1358,0.039488
0.143550316,0.664857833,0.450339596,0.483522179,0.516027818,0.256853422,0.209384111,7.539341807,0.12361,0.069978
0.132913387,0.53318916,0.398432164,0.416771644,1.273519698,0.267806155,0.205900484,7.584200176,0.069773,0.083045
