ImageName,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED,D_ER,pref
Nature13,0.089413711,-2.189604882,0.141469977,0.234277778,0.278420609,0.224241693,7.528119213,6.349913198,-0.04045375,-0.041295449,-0.065758948,-0.052265031,0.032002334,0.143504298,0.162018723,1.129016519,5.149293968
Nature14,0.094040255,-0.001697968,0.104150986,0.121093817,0.170187015,0.208493478,7.607911641,6.593815101,-0.043790601,0.009444712,-0.055085053,-0.101185165,0.005357594,0.185494519,0.2334659,1.258613469,4.330698109
Nature15,0.094725817,-0.996536119,0.149214374,0.138891279,0.168539354,0.232828534,7.627499132,6.572564673,-0.044120204,-0.005166341,-0.029747409,-0.025163472,0.038100198,0.130119566,0.144861768,1.11329735,5.417897961
Nature16,0.144601437,0.600162863,0.112316892,0.200360149,0.195590967,0.314975513,7.901774138,6.618337082,-0.087461736,0.121794278,0.003928277,0.004426395,0.037347978,0.098225182,0.146330701,1.489747313,6.30083839
Nature17,0.115645669,1.12261619,0.12400131,0.179466159,0.252808821,0.252691786,7.379846623,6.665191451,-0.085544446,0.102715985,0.010857899,0.005389663,0.012424589,0.139498388,0.218995194,1.569876162,5.055492175
Nature18,0.084319468,-0.21086403,0.105150817,0.172715138,0.24190435,0.314232936,7.234110024,6.164135194,-0.052196854,-0.050726142,-0.03367615,-0.022261377,0.014186343,0.139785729,0.193070761,1.381190787,5.430028608
Nature19,0.113859763,-0.470276154,0.164399469,0.167108772,0.277273639,0.324587033,7.571157267,6.820453322,-0.080591518,0.076574101,0.036888049,-0.001934955,0.007485178,0.133778214,0.223935255,1.673929172,5.531834889
Nature20,0.090782438,-0.702464765,0.149429571,0.100325158,0.22000196,0.216073521,7.501604682,6.840766052,-0.064001576,-0.028024526,0.028464928,-0.089339328,0.011137404,0.162923211,0.233465628,1.43297954,4.607973244
Nature21,0.082514779,-0.50366812,0.149786681,0.121370316,0.245333828,0.272964792,7.723395319,6.85626192,-0.064853904,-0.028498318,-0.009900119,-0.041536236,0.009178022,0.185046547,0.243724755,1.317099719,4.388091251
Nature22,0.084963867,-0.451513206,0.134852218,0.118707265,0.232757795,0.268766412,7.622535868,6.840766052,-0.06179408,0.023425809,-0.052230326,-0.090913812,0.009181922,0.17270907,0.222423138,1.287848623,3.791447777
Nature23,0.127577559,0.101010638,0.131145297,0.149108194,0.217413898,0.343251794,7.710995808,6.819738129,-0.085793432,0.048656352,-0.016830758,0.014429531,0.011769295,0.113039578,0.186265581,1.647790838,6.073220546
Nature24,0.134680419,1.127285101,0.143400995,0.177883189,0.208214275,0.277821083,7.486641689,6.706180008,-0.079075299,0.127665724,0.001931631,-0.004582089,0.011795299,0.120977221,0.196919315,1.627738787,6.02529788
Nature25,0.137708369,0.783218254,0.135100598,0.171359329,0.195030177,0.298213538,7.595223309,6.659325639,-0.082815991,0.136608438,-0.001206833,-0.010187313,0.014948253,0.109847618,0.178512564,1.625092717,6.068172118
Nature26,0.107560963,-2.155680845,0.086261811,0.235250745,0.158475098,0.250526753,7.64251234,6.768530246,-0.050998155,-0.026017855,-0.076963644,-0.067225476,0.023711514,0.134636338,0.129606672,0.962642582,5.621729891
Nature27,0.088594006,0.82319957,0.102737634,0.164471932,0.242792911,0.280403929,6.760970322,6.721675877,-0.089161696,0.093060972,0.070421004,-0.004256067,0.004343926,0.145463647,0.229911566,1.580543117,5.603153953
Nature28,0.114415114,-0.456126834,0.161592323,0.158181353,0.228608445,0.328006232,7.451410881,6.795438652,-0.083574937,0.097280641,0.056669827,-0.002974338,0.018834512,0.141605341,0.220229722,1.555235985,5.958616567
Nature29,0.123373794,0.51147698,0.142924842,0.195018313,0.217863403,0.290452102,7.448137128,6.758199668,-0.075588367,0.129210068,0.022101331,0.007304888,0.013008373,0.128552112,0.203798606,1.58533845,5.529569107
Nature30,0.127622408,1.441586436,0.134535197,0.191973063,0.198647823,0.279740927,6.909250994,6.686441879,-0.077683266,0.155553475,-0.007624595,0.007140362,0.016916736,0.12666684,0.198885198,1.570144151,6.343476567
Nature31,0.127080133,0.333081212,0.143279972,0.175358319,0.242339854,0.320896022,7.208187782,6.738461539,-0.078848582,0.156377289,-0.009689017,0.016121846,0.009825515,0.13833667,0.22028433,1.592378434,6.462109032
Nature32,0.107069489,-0.204456518,0.154838188,0.139330119,0.237287692,0.295931392,7.430002764,6.712635093,-0.082736863,0.049337624,0.122609849,-0.007380046,0.021397181,0.151442558,0.224542443,1.482690506,5.675679014
Nature33,0.171813897,1.245326458,0.151124382,0.135173771,0.164779953,0.288956661,7.632006185,6.712635093,-0.080128732,0.085378243,0.044527517,-0.009180104,0.010716143,0.090316206,0.177933331,1.970115208,6.255676396
Nature34,0.16344436,0.464371859,0.063841688,0.148918622,0.12018542,0.283991987,7.56007102,6.717800382,-0.0737548,-0.009326958,0.127138301,-0.009304407,0.008458528,0.104925462,0.179766346,1.713276669,4.940733938
Nature35,0.137787539,1.877273756,0.085372438,0.278127014,0.129337969,0.201854361,7.026262901,6.670946012,-0.075666731,0.081220464,-0.020361176,0.028511586,0.019388392,0.119966975,0.195974079,1.633566896,4.524513318
