,MedianHHIncome,PC1
397,NaN,-0.317096671
398,NaN,-0.47026476
399,NaN,-0.153790999
400,75769,0.211315962
401,75769,-0.413290067
402,75769,0.395057616
403,75769,-0.475684183
404,41103,-0.384921511
405,41103,-0.012180457
406,41103,-0.086763234
407,41103,0.23249598
408,63558,-0.389997343
409,63558,0.224159504
410,63558,0.141311767
411,63558,-0.317093553
412,73182,0.022766332
413,73182,-0.361950492
414,73182,-0.187453194
415,73182,0.280222978
416,73182,-0.086177111
417,73182,0.146891753
418,73182,-0.445718381
419,73182,-0.227714944
420,45096,0.019793022
421,45096,0.494276976
422,45096,-0.231017851
423,45096,0.518407271
424,58750,0.099393476
425,58750,-0.130587122
426,58750,0.175463492
427,58750,-0.330273095
428,45978,-0.174130219
429,45978,0.464124585
430,45978,-0.093674319
431,45978,-0.053297607
432,48780,0.367740744
433,48780,0.05847207
434,48780,-0.330522594
435,48780,-0.444746248
436,73571,-0.133430205
437,73571,-0.217586721
438,73571,-0.302754263
439,73571,-0.213181295
440,74961,0.074571653
441,74961,-0.103179783
442,74961,-0.036486319
443,74961,-0.43530749
444,93063,-0.10999729
445,93063,-0.086932402
446,93063,-0.292995021
447,93063,0.404293721
448,89432,-0.286470896
449,89432,-0.38071762
450,89432,-0.338663942
451,89432,-0.418712795
452,108462,-0.363629469
453,108462,-0.285761473
454,108462,-0.345893293
455,108462,-0.3972729
456,61250,-0.033588134
457,61250,-0.153718681
458,61250,0.33252657
459,61250,-0.105619842
460,57566,-0.570102898
461,57566,-0.405076359
462,57566,0.683798728
463,57566,-0.193065622
464,95188,0.504530631
465,95188,0.452192537
466,95188,0.480981868
467,95188,-0.086066833
468,107361,0.197422844
469,107361,-0.021557572
470,107361,0.067407587
471,107361,-0.230775958
472,94931,0.382991479
473,94931,0.39888103
474,94931,-0.156649515
475,94931,-0.202199113
476,94931,0.45259514
477,94931,-0.114239182
478,94931,0.280089674
479,94931,-0.331769392
480,79375,-0.268063509
481,79375,-0.030585659
482,79375,-0.14672897
483,79375,0.33193191
484,50313,-0.36242882
485,50313,-0.257850003
486,50313,-0.348308288
487,50313,-0.344987692
488,125882,-0.132754038
489,125882,-0.029747715
490,125882,0.009311163
491,125882,0.106476149
492,150188,-0.046794315
493,150188,-0.296623859
494,150188,-0.115559801
495,150188,-0.169071266
496,98553,-0.417598348
497,98553,0.542258474
498,98553,-0.198299773
499,98553,0.246761655
