ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.109026693,2.615206502,0.208491389,0.465243158,1.485030978,0.145647599,0.204750968,7.380101981,0.042610417,0.069078125
0.09742513,0.79949127,0.244429643,0.605248775,1.785511718,0.197197045,0.176243967,7.375452598,0.062077083,0.057345833
0.107550456,0.855117892,0.188516089,0.578352443,1.686716081,0.150740068,0.242850547,7.55070678,0.0449375,0.0683125
0.109285482,0.670445907,0.274123848,0.529959189,1.399673854,0.215188044,0.201811735,7.375729172,0.052070833,0.077527083
0.10858724,1.211746131,0.209169442,0.606106043,1.444171274,0.171149463,0.204355128,7.576587462,0.04533125,0.077120833
0.122265625,2.091741889,0.290592295,0.49284975,1.776703705,0.210719068,0.236125342,7.543523497,0.037095833,0.086541667
0.127047526,0.060341376,0.141192847,0.554547501,1.328809459,0.128356483,0.219212024,7.570552058,0.04699375,0.095138542
0.116702474,0.937084658,0.212379033,0.549596354,1.463970325,0.185236507,0.217758655,7.4670623,0.0478875,0.086447917
0.122543945,-0.298630061,0.11516515,0.546782731,1.413313422,0.107016457,0.206154055,7.313762022,0.066547917,0.063896875
0.100201823,1.634833975,0.225229292,0.627907118,2.574747156,0.196987295,0.246888566,7.55421414,0.057091667,0.058077083
0.101069336,-2.71385066,0.178306948,0.531065679,1.68659148,0.15897513,0.2194161,7.475613593,0.078864583,0.034529167
0.098183594,-2.835388431,0.188315983,0.545595295,1.900130943,0.187314186,0.237719859,7.354523671,0.073770833,0.030825
0.097389323,1.840266284,0.202318605,0.509080027,2.313913177,0.170126339,0.215157551,7.417078376,0.057297917,0.0533125
0.096625977,0.916970498,0.189517027,0.531781224,1.321590286,0.131328627,0.201028052,7.340702283,0.05021875,0.054022917
0.104431966,1.020535884,0.206529501,0.490624017,1.1855703,0.171604775,0.197555007,7.407699692,0.046708333,0.06403125
0.13686849,2.098865056,0.286083146,0.39724986,1.124465339,0.16688685,0.179972148,6.972077256,0.046372917,0.103238542
0.091002604,0.669871467,0.261138751,0.668428526,1.584051945,0.148635352,0.174352049,7.022810695,0.074710417,0.02948125
0.126069336,1.679394725,0.268731689,0.547279833,1.226970597,0.250282306,0.250104936,7.718357399,0.084247917,0.060247917
0.129903971,1.78607854,0.241305809,0.494788156,1.304685696,0.205508664,0.227075717,7.512058376,0.073279167,0.072211458
0.122716471,1.610657745,0.269000339,0.540140587,1.286601177,0.208593566,0.214981175,7.519183418,0.055914583,0.083695833
0.109916992,2.801190747,0.261543242,0.490460733,1.138039038,0.179737744,0.1990317,7.296854681,0.065733333,0.054820833
0.11058431,0.439771048,0.186281124,0.538494715,0.932262308,0.200824009,0.237925586,7.047897905,0.050535417,0.068567708
0.124506836,0.523622389,0.257043116,0.470996962,1.185918462,0.261461612,0.220009794,7.406033952,0.037520833,0.089283333
0.082739258,2.23854035,0.15787131,0.630997613,2.044672746,0.118935134,0.253025878,7.370762517,0.054702083,0.035171875
0.091416016,-3.012718531,0.190255708,0.602562934,0.965250694,0.112976539,0.228419703,7.504137788,0.03876875,0.059145833
0.109086914,1.100313976,0.139302589,0.540530778,1.70745827,0.09075997,0.204482459,7.42492965,0.061339583,0.0468875
0.129962565,0.952091532,0.238513498,0.41217393,0.918864567,0.152526089,0.171323583,7.36400991,0.063783333,0.075890625
0.100924479,-0.709818046,0.090999816,0.498774063,1.950069446,0.075751449,0.193027662,7.323536665,0.068377083,0.037566667
0.098453776,-0.586432919,0.101080224,0.534653161,1.857356088,0.095155137,0.231773304,7.17377038,0.071929167,0.030428125
0.109910482,-0.563893707,0.259190936,0.548958767,2.076337128,0.203903804,0.251625088,7.561784603,0.06824375,0.0519
0.121119792,1.02483513,0.210221362,0.505118783,1.598281181,0.168386629,0.214086202,7.470899086,0.0677125,0.064519792
0.112949219,-2.753888527,0.270232131,0.475010289,0.728078777,0.150328014,0.212238506,7.222350064,0.078585417,0.052441667
0.089265951,-2.774500709,0.284325115,0.643171901,0.85638737,0.125126777,0.265759822,7.397032254,0.054379167,0.054951042
0.104599609,1.783706939,0.208583227,0.67223329,1.684263315,0.142005934,0.245215865,7.557140922,0.056716667,0.053564583
0.133619792,1.314935362,0.259580326,0.506814287,1.082414447,0.206637216,0.227105373,7.535944628,0.0564,0.087014583
0.103367513,1.59352409,0.27061333,0.629790492,1.634664954,0.178662419,0.226837646,7.521378486,0.053027083,0.056141667
0.112402344,1.745166128,0.208882832,0.412262753,1.413986445,0.144107495,0.210423069,7.307833516,0.03826875,0.088498958
0.110654297,0.551485597,0.185183394,0.534331125,1.567466608,0.212373647,0.250906351,7.658044678,0.0650125,0.055847917
0.096165365,0.614926525,0.179631128,0.501011821,1.165333593,0.171735016,0.2310464,7.360618907,0.064958333,0.039211458
0.145214844,1.405106843,0.342961264,0.468055096,0.674659881,0.249953156,0.20207576,7.48049669,0.057533333,0.103732292
0.141240234,1.852381714,0.274101087,0.502353184,1.1005301,0.198496463,0.218300144,7.580846496,0.0732875,0.088609375
0.105327148,-2.504471148,0.091540065,0.559129493,0.996543967,0.095762775,0.201808773,7.584865794,0.058627083,0.046036458
0.096497396,-2.802542288,0.089343143,0.613215865,1.991737785,0.124080563,0.209898349,7.552465423,0.062372917,0.04080625
0.085325521,-1.873970464,0.244367004,0.666334125,2.435477572,0.165588706,0.187818929,7.09693285,0.0691625,0.037505208
0.099765625,-2.464429463,0.21318452,0.594219401,1.964978456,0.183550669,0.204635459,7.517017659,0.098802083,0.015689583
0.104384766,1.367738457,0.127224917,0.508477597,1.391597486,0.123582126,0.238681692,7.489520625,0.0443375,0.060178125
0.107449544,1.568632574,0.1902838,0.427014885,1.550707427,0.169186314,0.196968973,7.299929582,0.04800625,0.065696875
0.103447266,1.177689189,0.136883722,0.494862643,1.071013312,0.114326802,0.185539785,7.214901084,0.02829375,0.075797917
0.114352214,1.13331902,0.154111216,0.412559092,0.997027004,0.132806898,0.171645473,7.053737773,0.040920833,0.072004167
0.108852539,0.367065788,0.261329703,0.515143153,1.39646311,0.207096484,0.217475475,7.374001309,0.07885,0.046595833
0.086844076,0.749637777,0.152541449,0.605412058,1.306364688,0.145845213,0.251917579,7.433949269,0.0656125,0.0334125
0.100761719,1.147511869,0.209699618,0.581875728,0.991728287,0.158507949,0.198307764,7.425685121,0.077747917,0.03130625
0.095052083,1.507097096,0.095709237,0.546510532,1.925727615,0.085982136,0.225654169,7.553124346,0.052447917,0.0472375
0.113263346,1.552872437,0.34122813,0.584524114,1.570282449,0.226663116,0.231535813,7.571241099,0.0559125,0.070357292
0.111393229,-0.733097235,0.231356554,0.691716656,2.230032251,0.171258239,0.223290237,7.204923906,0.063891667,0.055238542
0.085463867,1.794227622,0.122015846,0.500099775,1.358986203,0.16984316,0.192401594,7.250294178,0.04714375,0.042441667
0.091178385,1.770772527,0.127906221,0.4724435,1.452708574,0.152238604,0.183687508,7.1535262,0.08183125,0.016994792
0.110424805,1.394930264,0.102872165,0.585996668,1.508795764,0.101775275,0.220044145,7.363250884,0.04731875,0.063107292
0.122452799,1.22656868,0.196389068,0.448664726,0.823788016,0.1519096,0.179009531,7.261793922,0.033383333,0.09404375
