,MedianHHIncome,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
49,78333,NaN0.167382198382107,0.050856768,1.631304547,0.836528226,1.325693405,NaN0.702018332416979,0.599737528,NaN0.018816883758806
50,78333,NaN1.13150366106304,NaN0.574973016765101,NaN0.885837228422432,NaN1.32353955517895,0.740423269,NaN1.01809836463082,0.713973248,NaN0.841543207312084
51,78333,0.475365443,NaN0.306760251761435,0.427454133,NaN0.636245261238423,0.447788201,0.40426178,0.257030369,NaN0.841543207312084
52,77398,0.314678533,0.408473788,NaN0.229191547908759,1.032898024,1.813418517,NaN0.148878276042751,0.14279465,1.318113392
53,77398,0.234335078,0.676686553,1.19354076,0.149233932,2.008508563,NaN0.148878276042751,0.485501808,NaN1.15006557864455
54,77398,0.395021988,0.319069533,0.208572239,NaN0.636245261238423,1.423238427,NaN1.09711837268428,0.828208967,NaN0.430180045535442
55,77398,1.519830361,1.302516338,0.646336026,0.738343327,NaN0.820297092003645,NaN0.702018332416979,NaN0.885326827255901,NaN0.635861626423762
56,54306,1.921547637,1.660133358,1.740745494,0.934713125,NaN0.137481933989406,NaN0.0698582679892935,0.485501808,NaN0.018816883758806
57,54306,0.796739264,NaN0.0385474867577751,0.755776973,0.443788629,1.325693405,NaN0.227898284096212,0.942444687,1.009591021
58,54306,1.841204182,1.570729103,2.069068334,1.52382252,NaN0.430117001709797,1.589561901,1.742094725,1.009591021
59,54306,NaN0.649442929722576,NaN0.75378152676754,NaN0.77639628167015,NaN0.636245261238423,1.715873495,NaN0.306918292149674,0.713973248,0.084023907
60,42500,1.03776963,1.213112083,1.740745494,0.051049033,NaN1.21047718229749,NaN0.385938300203136,0.485501808,NaN0.533020835979602
61,42500,1.921547637,1.570729103,1.631304547,1.032898024,0.447788201,NaN0.781038340470441,NaN0.199912509380361,NaN0.635861626423762
62,42500,1.841204182,2.017750378,2.397391174,1.818377217,1.813418517,0.957401837,1.627859005,NaN0.018816883758806
63,42500,2.001891093,1.928346123,1.5218636,0.443788629,1.52078345,NaN0.464958308256598,2.313273323,NaN1.35574715953288
64,84758,NaN1.05116020583963,NaN0.932590036769984,NaN1.32360101543154,0.541973528,NaN0.0399369114159493,1.115441853,NaN0.885326827255901,1.009591021
65,84758,NaN0.328069108828928,NaN1.0219942917712,NaN0.0103096544042018,0.34560373,NaN1.11293215972403,2.063681949,0.828208967,0.80390944
66,84758,NaN0.328069108828928,NaN0.306760251761435,NaN0.448073441413317,1.425637621,NaN1.40556722744442,0.246221764,NaN0.656855387964054,0.392546278
67,84758,0.555708899,NaN0.396164506762657,NaN0.0103096544042018,1.131082923,NaN0.332571979136333,0.167201756,NaN1.22803398619366,NaN0.533020835979602
68,96094,0.555708899,0.319069533,0.974658866,0.640158428,NaN0.332571979136333,0.720341813,1.170916126,0.186864697
69,96094,0.475365443,0.497878043,0.536895079,0.051049033,1.228148382,0.957401837,1.170916126,NaN0.018816883758806
70,96094,NaN0.328069108828928,NaN0.843185781768762,NaN0.885837228422432,NaN1.42172445431331,NaN0.137481933989406,NaN1.01809836463082,0.485501808,NaN0.121657674202966
71,96094,2.001891093,0.944899318,1.302981707,NaN0.341690563835342,1.325693405,0.246221764,1.399387566,0.598227859
72,58118,NaN1.13150366106304,NaN1.11139854677242,NaN0.885837228422432,NaN1.71627915171639,0.740423269,NaN1.17613838073774,0.02855893,NaN0.121657674202966
73,58118,0.234335078,0.140261023,NaN0.338632494661035,NaN0.636245261238423,NaN0.137481933989406,0.00916174,NaN0.771091107609978,NaN0.533020835979602
74,58118,NaN0.970816750616223,NaN1.0219942917712,NaN0.885837228422432,NaN1.12716975691022,NaN0.137481933989406,NaN0.385938300203136,NaN1.22803398619366,0.598227859
75,58118,0.234335078,NaN0.306760251761435,NaN0.77639628167015,NaN0.243505664700979,NaN0.917842114577108,NaN0.464958308256598,NaN1.57074114513143,NaN0.533020835979602
76,49574,NaN1.21184711628645,NaN1.37961131177608,NaN1.21416006867926,NaN0.145320765566617,NaN0.52766202428326,1.273481869,0.485501808,2.140839716
77,49574,0.636052354,0.587282298,NaN0.119750601156477,NaN0.538060362104061,NaN1.21047718229749,NaN0.702018332416979,NaN1.34226970583958,NaN1.25290636908871
78,49574,NaN0.649442929722576,NaN0.664377271766318,NaN1.21416006867926,0.149233932,NaN0.137481933989406,0.40426178,NaN0.656855387964054,0.80390944
