state,county_num,fixed tract,block_group,GEOID,GEOID_text,TotalPop,TotalMedianAge,MalePop,MMedianAge,FemalePop,FMedianAge,TotalAll,White,BlackorAA,Native,Asian,PacificIslander,Other,TwoPlus,HispanicLatino,MedianHHIncome,TotalCivLaborForce,TotalCivEmployed,TotalCivUnemployed,TotalEdu,NoSchooling,Nursery,Kindergarten,1stGrade,2ndGrade,3rdGrade,4thGrade,5thGrade,6thGrade,7thGrade,8thGrade,9thGrade,10thGrade,11thGrade,12thGradeNoGrad,HSGrad,GEDHSGrad,1YrCollege,1PlusYrsCollegeNoDeg,AssociatesDeg,BachelorsDeg,MastersDeg,ProSchoolDeg,DoctorateDeg,Less10k,10k_14.9k,15k_19.9k,20k_24.9k,25k_29.9k,30k_34.9k,35k_39.9k,40k_44.9k,45k_49.9k,50k_59.9k,60k_749.9k,75k_99.9k,100k_124.9k,125k_149.9k,150k_199.9k,200k+,PercWhite,PercBlack,PercNative,PercAsian,PercPacificIslander,PercOther,PercTwoPlus,PercHispanicLatino,PercCivEmployed,PercCivUnemployed,PercNoHS,PercHS,PercCollege,PercMasters,PercProSchool,PercDoctorate
17,31,770202,2,17317702022,170317702022.00,1955,59,879,55.4,1076,61.7,1955,1795,1,14,73,0,0,0,72,62098,1009,920,89,1648,17,0,0,0,0,19,0,19,0,0,0,20,0,0,17,555,17,126,313,139,285,107,14,0,0,0,69,103,25,60,30,67,53,93,192,97,28,122,41,67,91.81585678,0.051150895,0.716112532,3.734015345,0,0,0,3.68286445,91.17938553,8.82061447,5.582524272,34.70873786,52.36650485,6.492718447,0.849514563,0
17,31,770202,3,17317702023,170317702023.00,1247,54.2,523,54.5,724,37.7,1247,1229,0,0,0,0,0,0,18,86100,499,471,28,953,0,0,0,0,0,0,0,0,26,0,0,48,0,0,0,147,12,52,386,77,67,126,0,12,0,0,13,27,0,26,13,13,27,25,62,102,26,27,49,58,98.55653569,0,0,0,0,0,0,1.443464314,94.38877756,5.611222445,7.764952781,16.6841553,61.0703043,13.22140609,0,1.259181532
17,31,813301,2,17318133012,170318133012.00,639,16.9,322,16.2,317,24,639,5,40,0,0,0,0,0,594,42292,227,196,31,249,0,0,0,0,13,0,0,0,37,0,0,10,11,0,12,63,0,11,88,0,4,0,0,0,23,30,5,5,0,0,0,34,17,17,27,12,0,0,0,0,0.782472613,6.259780908,0,0,0,0,0,92.95774648,86.34361233,13.65638767,33.33333333,25.30120482,41.36546185,0,0,0
17,31,813301,3,17318133013,170318133013.00,1329,24.3,594,24.5,735,24.2,1329,23,0,0,0,0,0,0,1306,53167,617,614,3,637,19,0,0,0,0,11,6,0,121,0,19,24,0,3,0,169,5,45,125,36,54,0,0,0,0,5,0,28,26,15,25,40,4,15,29,76,7,24,0,0,1.73062453,0,0,0,0,0,0,98.26937547,99.51377634,0.486223663,31.86813187,27.3155416,40.81632653,0,0,0
17,31,813301,1,17318133011,170318133011.00,1261,26.7,627,26.3,634,30.8,1261,52,88,0,0,0,0,0,1121,33914,559,538,21,667,13,0,0,0,0,0,25,0,102,0,12,12,43,19,0,157,46,35,89,19,83,12,0,0,47,19,59,17,0,68,23,14,0,48,16,27,33,0,0,16,4.12371134,6.978588422,0,0,0,0,0,88.89770024,96.24329159,3.756708408,33.88305847,30.43478261,33.88305847,1.79910045,0,0
17,31,813702,1,17318137021,170318137021.00,1093,31.2,600,29.5,493,31.7,1093,0,202,0,0,0,0,0,891,48158,368,368,0,640,85,0,0,0,0,42,0,0,78,19,0,9,0,0,10,231,67,0,99,0,0,0,0,0,35,36,0,21,10,21,0,22,19,48,60,0,8,0,0,20,0,18.48124428,0,0,0,0,0,81.51875572,100,0,37.96875,46.5625,15.46875,0,0,0
17,31,813702,2,17318137022,170318137022.00,469,31.5,237,31.9,232,31.2,469,9,0,0,10,0,0,0,450,68977,237,237,0,288,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,23,80,57,10,0,0,0,0,0,0,9,0,0,20,0,0,10,22,23,12,0,0,8,1.918976546,0,0,2.132196162,0,0,0,95.94882729,100,0,12.15277778,28.81944444,59.02777778,0,0,0
17,31,813702,3,17318137023,170318137023.00,1197,30.1,641,30.2,556,29.7,1197,22,22,0,0,0,0,0,1153,47250,682,682,0,740,44,0,0,0,17,0,0,16,87,0,0,21,0,57,82,148,15,47,88,0,109,9,0,0,41,9,0,51,17,21,22,0,36,31,0,40,34,29,36,0,1.837928154,1.837928154,0,0,0,0,0,96.32414369,100,0,43.78378378,22.02702703,32.97297297,1.216216216,0,0
17,31,813702,4,17318137024,170318137024.00,1141,25.6,605,24.9,536,25.7,1141,51,46,0,0,0,10,0,1034,51429,594,558,36,604,99,14,0,0,0,41,11,16,89,0,18,19,0,0,0,149,0,11,50,41,36,0,10,0,17,55,0,21,0,17,0,31,0,51,0,52,35,0,35,0,4.469763365,4.031551271,0,0,0,0.876424189,0,90.62226117,93.93939394,6.060606061,50.82781457,24.66887417,22.84768212,0,1.655629139,0
17,31,252101,1,17312521011,170312521011.00,1270,48.4,564,48.4,706,48.4,1270,20,1239,0,0,0,0,0,11,17000,474,441,33,972,32,0,0,0,0,0,0,0,0,17,0,9,34,47,22,308,18,91,143,63,130,29,29,0,214,80,95,0,80,8,18,9,8,37,0,28,28,9,21,17,1.57480315,97.55905512,0,0,0,0,0,0.866141732,93.03797468,6.962025316,16.56378601,33.53909465,43.93004115,2.983539095,2.983539095,0
