a_image_name,b_block_id,c_pano_id,d_heading
p1r00044.jpg,170310307021000,MGlP_68j2FKK_zF7G8nvzA,4left
p1r00045.jpg,170310310002005,2qq_N0L0nTpixd0q_keOOg,2right
p1r00046.jpg,170310310002005,2qq_N0L0nTpixd0q_keOOg,4left
p1r00047.jpg,170310310002005,JNGe9YuG-qiUIXBuOd8ytw,2right
p1r00048.jpg,170310310002005,JNGe9YuG-qiUIXBuOd8ytw,4left
p1r00049.jpg,170310311003002,L05bn1mgSkz3uJZpQCnfLQ,2right
p1r00050.jpg,170310311003002,L05bn1mgSkz3uJZpQCnfLQ,4left
p1r00051.jpg,170310311003002,mZb64mRiwKO6MzWNeHMh6g,2right
p1r00052.jpg,170310311003002,mZb64mRiwKO6MzWNeHMh6g,4left
p1r00053.jpg,170310314005005,IANPOPAhrsLcI3xTNPYfog,2right
p1r00054.jpg,170310314005005,IANPOPAhrsLcI3xTNPYfog,4left
p1r00055.jpg,170310314005005,LYsej8U4xBbqkbHP5jgmrg,2right
p1r00056.jpg,170310314005005,LYsej8U4xBbqkbHP5jgmrg,4left
p1r00057.jpg,170310315021003,D6hIzSirl-U9VaBe80_IAQ,2right
p1r00058.jpg,170310315021003,D6hIzSirl-U9VaBe80_IAQ,4left
p1r00059.jpg,170310315021003,xYFRxszwWqyDhLAL1xR4RQ,2right
p1r00060.jpg,170310315021003,xYFRxszwWqyDhLAL1xR4RQ,4left
p1r00061.jpg,170310317002002,eI2-1IWeeufTwD2xNu2Ahw,2right
p1r00062.jpg,170310317002002,eI2-1IWeeufTwD2xNu2Ahw,4left
p1r00063.jpg,170310317002002,iVp26OT0yOyipkgnTXAf3A,2right
p1r00064.jpg,170310317002002,iVp26OT0yOyipkgnTXAf3A,4left
p1r00065.jpg,170310318001003,PNg1ggroTKvEq4NLYubrSw,2right
p1r00066.jpg,170310318001003,PNg1ggroTKvEq4NLYubrSw,4left
p1r00067.jpg,170310318001003,Vq1J2lvTv8ID5SUlHQXCrg,2right
p1r00068.jpg,170310318001003,Vq1J2lvTv8ID5SUlHQXCrg,4left
p1r00069.jpg,170310401001032,F7UGaFkRNmZw2piNWpDaHg,2right
p1r00070.jpg,170310401001032,F7UGaFkRNmZw2piNWpDaHg,4left
p1r00071.jpg,170310401001032,vBVx4uyioKE9HWcgLG4C1Q,2right
p1r00072.jpg,170310401001032,vBVx4uyioKE9HWcgLG4C1Q,4left
p1r00073.jpg,170310402012004,4w2hmW2nw9JDwf2QskJVOg,2right
p1r00074.jpg,170310402012004,4w2hmW2nw9JDwf2QskJVOg,4left
p1r00075.jpg,170310402012004,RT5H_Wgug_tyyl1fPLaL-w,2right
p1r00076.jpg,170310402012004,RT5H_Wgug_tyyl1fPLaL-w,4left
p1r00077.jpg,170310402022003,4Ma7GP3DCAmCtUiOXrng4Q,2right
p1r00078.jpg,170310402022003,4Ma7GP3DCAmCtUiOXrng4Q,4left
p1r00079.jpg,170310402022003,i6XZtMPb0vbX1XGXkifzVw,2right
p1r00080.jpg,170310402022003,i6XZtMPb0vbX1XGXkifzVw,4left
p1r00081.jpg,170310404025010,0LY0CZZe0X_RuOLMArxB-Q,2right
p1r00082.jpg,170310404025010,0LY0CZZe0X_RuOLMArxB-Q,4left
p1r00083.jpg,170310404025010,Tg-7cGHWnk4JC_eOIbL4og,2right
p1r00084.jpg,170310404025010,Tg-7cGHWnk4JC_eOIbL4og,4left
p1r00085.jpg,170310407003008,buFlluwOWPDRFrQS6srr3Q,2right
p1r00086.jpg,170310407003008,buFlluwOWPDRFrQS6srr3Q,4left
p1r00087.jpg,170310407003008,iJX6kTqv0ww2vPUnV1HnJQ,2right
p1r00088.jpg,170310407003008,iJX6kTqv0ww2vPUnV1HnJQ,4left
p1r00089.jpg,170310501001006,-79NmNwNyQ6IQgWz6GM5YA,2right
p1r00090.jpg,170310501001006,-79NmNwNyQ6IQgWz6GM5YA,4left
p1r00091.jpg,170310501001006,W6UDTmUlZE3TBfBtDj-MIg,2right
p1r00092.jpg,170310501001006,W6UDTmUlZE3TBfBtDj-MIg,4left
p1r00093.jpg,170310501002005,Suq-ivHqvpyVEMiEyDMH3A,2right
p1r00094.jpg,170310501002005,Suq-ivHqvpyVEMiEyDMH3A,4left
p1r00095.jpg,170310501002005,U_MYN8QvqmPDMizh2AQlrQ,2right
p1r00096.jpg,170310501002005,U_MYN8QvqmPDMizh2AQlrQ,4left
p1r00097.jpg,170310502001004,9dkZa_Q9wGqN7WQCf9nQIA,2right
p1r00098.jpg,170310502001004,9dkZa_Q9wGqN7WQCf9nQIA,4left
p1r00099.jpg,170310502001004,CBpuxQbaI_DF4MMsGijBZA,2right
p1r00100.jpg,170310502001004,CBpuxQbaI_DF4MMsGijBZA,4left
p1r00101.jpg,170310502003014,-O8nFN1bF49G4RwUEq2LGg,2right
p1r00102.jpg,170310502003014,-O8nFN1bF49G4RwUEq2LGg,4left
p1r00103.jpg,170310502003014,it7EPV4eXkWRJN4OGKKTnQ,2right
p1r00104.jpg,170310502003014,it7EPV4eXkWRJN4OGKKTnQ,4left
p1r00105.jpg,170310502003015,0lNVazD-8ThEl0Enz8E0eA,2right
p1r00106.jpg,170310502003015,0lNVazD-8ThEl0Enz8E0eA,4left
p1r00107.jpg,170310502003015,v0PsnuvfX-rDpbpVsvXWXA,2right
p1r00108.jpg,170310502003015,v0PsnuvfX-rDpbpVsvXWXA,4left
p1r00109.jpg,170310505003000,29wdVmBc9Kqi0clr0c71Kg,2right
p1r00110.jpg,170310505003000,29wdVmBc9Kqi0clr0c71Kg,4left
p1r00111.jpg,170310505003000,bWgHM32eyERXH0wxw-KAjw,2right
p1r00112.jpg,170310505003000,bWgHM32eyERXH0wxw-KAjw,4left
p1r00113.jpg,170310508001003,o3YP3bXZBrS-gjX40z5_6w,2right
p1r00114.jpg,170310508001003,o3YP3bXZBrS-gjX40z5_6w,4left
