ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.097077637,1.117456189,0.153751575,0.551676487,1.211040018,0.147281857,0.326997841,7.791377475,0.086135,0.0373
0.102403564,3.127551918,0.227825615,0.581100088,1.217957203,0.200504676,0.337243768,7.759054775,0.082108,0.036183
0.096475423,2.77950228,0.237972449,0.464924786,1.114666823,0.217860933,0.332950338,7.744043358,0.08361,0.037769
0.076821696,2.871379753,0.209974946,0.572437835,0.973274355,0.155984829,0.336585664,7.825741997,0.074065,0.021814
0.09939738,2.187652044,0.253800648,0.407713034,1.951709671,0.247339207,0.30862124,7.725549994,0.096779,0.046695
0.073009847,3.116444139,0.219065306,0.576977003,0.768400366,0.142481541,0.341049883,7.776744027,0.082935,0.0088833
0.129852702,1.616608024,0.303731933,0.474364334,1.19938636,0.232693976,0.309300581,7.834291272,0.082992,0.080018
0.094018555,-0.955876171,0.172461742,0.439460638,2.188129592,0.17707633,0.293205595,7.754099063,0.097054,0.02236
0.087837728,2.993475753,0.256983301,0.505814827,1.005276283,0.224837409,0.358708949,7.733056325,0.0915,0.023828
0.084495036,1.597420813,0.282640772,0.533347299,1.635012917,0.23221231,0.330541569,7.831896013,0.15824,0
0.096284587,-3.058240433,0.253866856,0.581270355,0.916031627,0.204086804,0.359120229,7.467533006,0.098379,0.019129
0.090767008,2.139989824,0.21566084,0.550942201,1.41289178,0.197170612,0.307262653,7.712531439,0.1048,0.0094385
0.086739502,3.126544391,0.286030517,0.599600867,1.437609338,0.214148336,0.348798335,7.768937914,0.095542,0.023449
0.093197428,0.94068104,0.191969902,0.547860422,1.193639664,0.17786202,0.329590035,7.79172994,0.094527,0.028163
0.096954346,2.651636888,0.203376396,0.573498905,1.000963629,0.1856837,0.343110975,7.84339515,0.078385,0.040252
0.073983968,-3.104115811,0.243336293,0.526514259,0.928259036,0.21584492,0.36001584,7.673737089,0.10093,0.0055385
0.096941325,2.903215508,0.228865195,0.450897595,1.206229512,0.223887078,0.334354311,7.672547654,0.09449,0.042282
0.080705566,2.895121393,0.263438797,0.499315442,1.032973363,0.232570676,0.358184198,7.652252878,0.10404,0.010881
0.079556478,2.447941759,0.197725235,0.617710947,1.095060617,0.138731237,0.317793267,7.837499356,0.067562,0.03586
0.094643962,2.924857299,0.26636094,0.63432621,1.390539676,0.199953808,0.347869846,7.713754499,0.0792,0.031141
0.093768311,-3.014499275,0.265235066,0.579167177,0.593590705,0.212171287,0.351834176,7.813792558,0.089781,0.047357
0.092600911,-3.009590319,0.287280236,0.496080238,0.842790165,0.236756279,0.353057228,7.687369253,0.091046,0.032799
0.091790771,1.466000592,0.184148853,0.568201025,1.642784522,0.17000833,0.331900573,7.757247851,0.084792,0.027053
0.080739746,2.995798365,0.209703506,0.564444604,0.787211101,0.158519291,0.337672255,7.856823232,0.081937,0.025861
0.08302653,0.739132664,0.232945374,0.55855868,1.269413839,0.199275351,0.332916932,7.78488622,0.092669,0.015068
0.107097982,0.470736714,0.209231472,0.52580157,1.042496816,0.199832936,0.32174772,7.806058262,0.091942,0.049968
0.081392008,2.324066953,0.191422599,0.495105593,1.298645983,0.164645895,0.336111024,7.669212733,0.096708,0.013167
0.089047852,0.231289447,0.164796096,0.396433852,1.786851381,0.198455223,0.302198558,7.50762435,0.11895,0.015977
0.076974284,-3.049502945,0.238721981,0.590811367,0.538921499,0.165911094,0.35784836,7.731124443,0.080915,0.017755
0.067636312,-3.02921563,0.228209575,0.603028391,0.474172448,0.151139099,0.334421818,7.78716806,0.083508,0.0074365
0.070008138,3.046668474,0.203218972,0.703375326,0.878006795,0.15545396,0.33326506,7.334149379,0.069771,0.014877
0.082817383,0.393657268,0.210603539,0.580689568,0.796797188,0.204919748,0.334571238,7.385723492,0.10012,0.0076896
0.118291016,0.636162033,0.199500855,0.518680489,0.907389439,0.206072055,0.316383266,7.771997968,0.097794,0.053753
0.078905029,-2.928307888,0.230229789,0.488169185,0.795280485,0.214000647,0.321503262,7.723575286,0.094492,0.010957
0.075635986,-2.964818207,0.289358274,0.640770824,0.964460158,0.211872408,0.349948456,7.719653588,0.079554,0.024959
0.079494629,1.411427254,0.174524972,0.577794737,1.481654902,0.165300766,0.34823671,7.622733848,0.10062,0.0074375
