name,ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED,NonStraightED
p1rt0560.jpg     ,0.11888,1.4364,0.090417,0.51843,1.3163,0.05147,0.10569,6.1719,0.0039792,0.072227
p1rt0561.jpg     ,0.11988,1.1422,0.11482,0.53717,1.4135,0.053278,0.099381,6.2103,0.0033229,0.073664
p1rt0562.jpg     ,0.12135,1.1452,0.094561,0.53365,1.3449,0.046897,0.10315,6.1655,0.0053708,0.074096
p1rt0563.jpg     ,0.11524,1.4123,0.085608,0.54147,1.3656,0.052633,0.11107,6.3262,0.0037146,0.070196
p1rt0564.jpg     ,0.12244,1.182,0.10404,0.54275,1.4505,0.057775,0.11541,6.3056,0.0045479,0.077465
p1s00001.jpg     ,0.096087,1.449,0.15934,0.61673,1.9318,0.087734,0.26846,7.634,0.042888,0.057226
p1s00002.jpg      ,0.1091,0.99731,0.32012,0.54062,1.0994,0.22238,0.20556,7.5601,0.082817,0.043203
p1s00003.jpg      ,0.12305,-2.4173,0.1372,0.4499,1.4764,0.12901,0.16904,7.3464,0.1325,0.017248
p1s00004.jpg      ,0.11458,0.26999,0.24931,0.58799,1.4923,0.23856,0.25732,7.4998,0.10096,0.035377
p1s00005.jpg      ,0.083636,0.71266,0.1718,0.64629,2.3318,0.15775,0.21831,7.3636,0.065085,0.038066
p1s00006.jpg       ,0.1303,0.77391,0.31628,0.5018,0.92024,0.23482,0.20513,7.5834,0.083017,0.072699
p1s00007.jpg      ,0.10964,0.2973,0.27003,0.59707,1.7345,0.20807,0.1715,7.0604,0.056867,0.064268
p1s00008.jpg      ,0.11021,-0.15024,0.17022,0.49303,2.0823,0.14218,0.19571,7.3992,0.056092,0.056626
p1s00009.jpg      ,0.091818,-2.5814,0.19506,0.57614,1.4064,0.19677,0.24529,7.7469,0.087244,0.019431
p1s00010.jpg       ,0.095876,-2.8283,0.13721,0.50623,0.8851,0.10472,0.21806,7.0668,0.082294,0.015831
p1s00011.jpg     ,0.098843,2.1435,0.16038,0.56564,1.8174,0.18168,0.19209,7.3581,0.055773,0.048164
p1s00012.jpg      ,0.091198,-2.5197,0.16602,0.53673,1.0799,0.13108,0.27751,7.2826,0.094469,0.012119
p1s00013.jpg      ,0.12327,-2.4837,0.12154,0.57572,1.3435,0.11329,0.20231,7.3239,0.07995,0.050986
p1s00014.jpg     ,0.1292,1.9043,0.14256,0.47202,1.7754,0.15164,0.17349,7.4411,0.079944,0.057647
p1s00015.jpg      ,0.10848,-2.1654,0.10054,0.55862,1.9154,0.10973,0.17097,7.0106,0.075858,0.039887
p1s00016.jpg      ,0.087311,0.66125,0.098771,0.55914,2.3065,0.12267,0.17525,7.1339,0.065454,0.029243
p1s00017.jpg      ,0.094295,0.66596,0.1771,0.58133,1.5747,0.15856,0.18716,7.2618,0.075092,0.032786
p1s00018.jpg      ,0.10923,0.23288,0.22766,0.56944,2.0793,0.18018,0.21198,7.6354,0.06295,0.062317
p1s00019.jpg      ,0.091413,-0.12521,0.1768,0.73022,2.4388,0.19134,0.22401,7.406,0.060294,0.041257
p1s00020.jpg     ,0.12073,1.3399,0.27268,0.57117,1.7306,0.22123,0.2516,7.7564,0.050885,0.083616
p1s00021.jpg     ,0.099285,1.6485,0.18867,0.59329,1.9804,0.096018,0.16808,7.177,0.073177,0.037753
p1s00022.jpg     ,0.098841,2.1148,0.19073,0.54721,1.7767,0.14177,0.23914,7.6854,0.064896,0.041063
p1s00023.jpg     ,0.10369,1.5078,0.21232,0.55088,1.6195,0.12426,0.18317,7.3163,0.067696,0.048807
p1s00024.jpg     ,0.09821,1.6805,0.196,0.54016,1.4546,0.13426,0.27707,7.4605,0.056731,0.052019
p1s00025.jpg      ,0.10343,-0.55101,0.19227,0.64822,2.3596,0.16021,0.25777,7.5464,0.084094,0.031996
p1s00026.jpg       ,0.11957,0.56437,0.33371,0.58682,0.88114,0.19272,0.19867,7.5648,0.12115,0.028016
p1s00027.jpg      ,0.099811,-1.2185,0.20817,0.59607,2.1777,0.16823,0.27009,7.6103,0.072858,0.036409
p1s00028.jpg      ,0.10477,0.84496,0.28537,0.5803,1.2572,0.23338,0.21984,7.7374,0.091298,0.043323
p1s00029.jpg       ,0.13879,0.71931,0.24951,0.49063,0.99239,0.17202,0.22561,7.7256,0.068165,0.085005
p1s00030.jpg      ,0.10641,-2.9793,0.19612,0.44093,1.6972,0.13387,0.17569,6.9422,0.051248,0.07499
p1s00031.jpg      ,0.13372,0.46374,0.23918,0.51909,1.1973,0.17286,0.22207,7.7278,0.086019,0.075423
p1s00032.jpg      ,0.10517,-2.6056,0.20255,0.53281,1.4572,0.16519,0.22108,7.4474,0.071252,0.056546
p1s00033.jpg     ,0.10772,1.4705,0.15072,0.6174,1.6231,0.13666,0.23061,7.5064,0.1167,0.0031813
p1s00034.jpg      ,0.10554,0.35562,0.1479,0.5524,1.2635,0.14248,0.25114,7.4105,0.10877,0.011895
p1s00035.jpg     ,0.11812,1.3355,0.13098,0.59336,1.5857,0.15404,0.25233,7.5934,0.126,0.012418
p1s00036.jpg       ,0.10337,0.84233,0.16857,0.42094,0.92876,0.15945,0.1752,7.3664,0.12588,0.0051073
p1s00037.jpg      ,0.094172,0.68784,0.22548,0.52013,1.2108,0.16003,0.19501,7.3044,0.086698,0.036616
p1s00038.jpg      ,0.1235,1.039,0.29651,0.40663,0.72518,0.18505,0.17517,7.354,0.065215,0.073204
p1s00039.jpg      ,0.1046,-3.0409,0.22023,0.53113,1.4029,0.1253,0.21471,7.4952,0.066769,0.043435
p1s00040.jpg     ,0.12511,1.6729,0.25776,0.57064,1.676,0.17274,0.22255,7.5378,0.06689,0.07033
p1s00041.jpg       ,0.13125,0.87754,0.2588,0.58623,0.53708,0.16756,0.23538,7.6686,0.089546,0.064356
p1s00042.jpg      ,0.12952,1.2709,0.42168,0.48363,0.73968,0.2861,0.22181,7.5187,0.068483,0.088311
p1s00043.jpg     ,0.10727,2.451,0.17124,0.49185,1.5984,0.11081,0.18205,7.1525,0.083492,0.039824
